UNITID,EFTOTLT,EFTOTLM,EFTOTLW
112181,96,4,92
112181,96,4,92
112181,96,4,92
112181,28,0,28
112181,68,4,64
112181,68,4,64
112181,89,3,86
112181,89,3,86
112181,89,3,86
112181,28,0,28
112181,61,3,58
112181,61,3,58
112181,7,1,6
112181,7,1,6
112181,7,1,6
112181,7,1,6
112181,7,1,6
112190,26706,12917,13789
112190,26706,12917,13789
112190,24662,11917,12745
112190,3505,1759,1746
112190,21157,10158,10999
112190,2044,1000,1044
112190,1743,833,910
112190,19414,9325,10089
112190,9198,4703,4495
112190,9198,4703,4495
112190,9086,4636,4450
112190,1572,786,786
112190,7514,3850,3664
112190,112,67,45
112190,469,246,223
112190,7045,3604,3441
112190,17508,8214,9294
112190,17508,8214,9294
112190,15576,7281,8295
112190,1933,973,960
112190,13643,6308,7335
112190,1932,933,999
112190,1274,587,687
112190,12369,5721,6648
112251,2204,1036,1168
112251,2204,1036,1168
112251,1532,720,812
112251,1532,720,812
112251,672,316,356
112251,672,316,356
112260,1328,686,642
112260,1316,678,638
112260,1311,676,635
112260,337,165,172
112260,974,511,463
112260,5,2,3
112260,12,8,4
112260,18,9,9
112260,956,502,454
112260,1324,685,639
112260,1312,677,635
112260,1307,675,632
112260,337,165,172
112260,970,510,460
112260,5,2,3
112260,12,8,4
112260,18,9,9
112260,952,501,451
112260,4,1,3
112260,4,1,3
112260,4,1,3
112260,4,1,3
112260,4,1,3
112288,354,44,310
112288,354,44,310
112288,354,44,310
112288,126,17,109
112288,228,27,201
112288,228,27,201
112288,354,44,310
112288,354,44,310
112288,354,44,310
112288,126,17,109
112288,228,27,201
112288,228,27,201
112367,608,53,555
112367,608,53,555
112367,608,53,555
112367,446,40,406
112367,162,13,149
112367,162,13,149
112367,366,29,337
112367,366,29,337
112367,366,29,337
112367,251,21,230
112367,115,8,107
112367,115,8,107
112367,242,24,218
112367,242,24,218
112367,242,24,218
112367,195,19,176
112367,47,5,42
112367,47,5,42
112385,10378,5709,4669
112385,10378,5709,4669
112385,8999,4951,4048
112385,1279,883,396
112385,7720,4068,3652
112385,1379,758,621
112385,2177,1097,1080
112385,5543,2971,2572
112385,1476,716,760
112385,1476,716,760
112385,1381,669,712
112385,182,86,96
112385,1199,583,616
112385,95,47,48
112385,218,89,129
112385,981,494,487
112385,8902,4993,3909
112385,8902,4993,3909
112385,7618,4282,3336
112385,1097,797,300
112385,6521,3485,3036
112385,1284,711,573
112385,1959,1008,951
112385,4562,2477,2085
112394,472,354,118
112394,462,349,113
112394,457,346,111
112394,103,69,34
112394,354,277,77
112394,5,3,2
112394,10,5,5
112394,43,36,7
112394,311,241,70
112394,322,229,93
112394,315,225,90
112394,314,224,90
112394,73,44,29
112394,241,180,61
112394,1,1,0
112394,7,4,3
112394,31,25,6
112394,210,155,55
112394,150,125,25
112394,147,124,23
112394,143,122,21
112394,30,25,5
112394,113,97,16
112394,4,2,2
112394,3,1,2
112394,12,11,1
112394,101,86,15
112446,833,688,145
112446,532,489,43
112446,532,489,43
112446,65,54,11
112446,467,435,32
112446,301,199,102
112446,3,3,0
112446,464,432,32
112446,734,596,138
112446,433,397,36
112446,433,397,36
112446,65,54,11
112446,368,343,25
112446,301,199,102
112446,3,3,0
112446,365,340,25
112446,99,92,7
112446,99,92,7
112446,99,92,7
112446,99,92,7
112446,99,92,7
112455,40,3,37
112455,40,3,37
112455,40,3,37
112455,10,0,10
112455,30,3,27
112455,30,3,27
112455,40,3,37
112455,40,3,37
112455,40,3,37
112455,10,0,10
112455,30,3,27
112455,30,3,27
112525,3748,1440,2308
112525,3748,1440,2308
112525,3684,1424,2260
112525,3684,1424,2260
112525,64,16,48
112525,64,16,48
112561,2626,1153,1473
112561,2626,1153,1473
112561,2425,1055,1370
112561,592,269,323
112561,1833,786,1047
112561,201,98,103
112561,227,97,130
112561,1606,689,917
112561,843,406,437
112561,843,406,437
112561,834,401,433
112561,298,152,146
112561,536,249,287
112561,9,5,4
112561,47,21,26
112561,489,228,261
112561,1783,747,1036
112561,1783,747,1036
112561,1591,654,937
112561,294,117,177
112561,1297,537,760
112561,192,93,99
112561,180,76,104
112561,1117,461,656
112570,314,210,104
112570,314,210,104
112570,314,210,104
112570,44,30,14
112570,270,180,90
112570,26,19,7
112570,244,161,83
112570,285,190,95
112570,285,190,95
112570,285,190,95
112570,44,30,14
112570,241,160,81
112570,25,18,7
112570,216,142,74
112570,29,20,9
112570,29,20,9
112570,29,20,9
112570,29,20,9
112570,1,1,0
112570,28,19,9
112686,7693,2762,4931
112686,7693,2762,4931
112686,6846,2449,4397
112686,943,433,510
112686,5903,2016,3887
112686,847,313,534
112686,1204,447,757
112686,4699,1569,3130
112686,1896,748,1148
112686,1896,748,1148
112686,1858,733,1125
112686,412,194,218
112686,1446,539,907
112686,38,15,23
112686,220,92,128
112686,1226,447,779
112686,5797,2014,3783
112686,5797,2014,3783
112686,4988,1716,3272
112686,531,239,292
112686,4457,1477,2980
112686,809,298,511
112686,984,355,629
112686,3473,1122,2351
112783,268,120,148
112783,268,120,148
112783,268,120,148
112783,73,32,41
112783,195,88,107
112783,195,88,107
112783,266,119,147
112783,266,119,147
112783,266,119,147
112783,72,32,40
112783,194,87,107
112783,194,87,107
112783,2,1,1
112783,2,1,1
112783,2,1,1
112783,1,0,1
112783,1,1,0
112783,1,1,0
112826,6865,2853,4012
112826,6865,2853,4012
112826,5468,2278,3190
112826,683,350,333
112826,4785,1928,2857
112826,1397,575,822
112826,512,236,276
112826,4273,1692,2581
112826,2153,990,1163
112826,2153,990,1163
112826,1980,902,1078
112826,313,162,151
112826,1667,740,927
112826,173,88,85
112826,122,67,55
112826,1545,673,872
112826,4712,1863,2849
112826,4712,1863,2849
112826,3488,1376,2112
112826,370,188,182
112826,3118,1188,1930
112826,1224,487,737
112826,390,169,221
112826,2728,1019,1709
113096,13949,6173,7776
113096,13949,6173,7776
113096,12852,5707,7145
113096,2171,1074,1097
113096,10681,4633,6048
101143,1282,757,525
101143,340,190,150
101143,942,567,375
101143,36,14,22
101143,205,109,96
101143,737,458,279
